1616152620	_	_	28.29499685313158	23.475866058675813
1616180984.0	120.52802134077092	120.52802134077092	_	_
1616200843.0	122.0062513116973	121.02125213868182	_	_
1616219144.0	120.52948376357723	125.35230336954592	_	_
1616237856.0	130.0033539208859	125.14432354936262	_	_
1616258811.0	133.6944065107982	125.33344138538003	_	_
1616280576.0	122.69536464308015	124.6619047990453	_	_
1616301317.0	126.55338335472858	125.4697433003216	_	_
1616323686.0	123.1863887097395	126.8405687912607	_	_
1616349100.0	128.8043189131424	127.54184196989365	_	_
1616370755.0	129.11109977317074	128.9075996687505	_	_
1616393470.0	114.1688805479072	129.40550650818327	_	_
1616413914.0	124.76175882410284	129.65887501303132	_	_
1616435529.0	135.06395129057947	131.1004294093271	_	_
1616457159.0	141.8226087435112	131.57150504958165	_	_
1616478798.0	129.67926022121853	132.40657136643307	_	_
1616500290.0	133.57318770301208	132.94820535203897	_	_
1616521891.0	132.0295939162696	134.38872411955452	_	_
1616543518.0	130.49364617201192	135.98494145196307	_	_
1616565143.0	150.53943404605553	137.06220124111326	_	_
1616608251.0	129.98825128999368	137.88145864226055	_	_
1616629932.0	126.8202529038104	139.72059193656295	_	_
1616652864.0	147.91901729319721	141.347073464739	_	_
1616673107.0	138.95379108572197	142.33485047703005	_	_
1616696070.0	149.56066653097537	143.80336154520373	_	_
1616716314.0	132.98641036959214	145.4388412406349	_	_
1616739054.0	153.9232399375241	147.28026134806336	_	_
1616757420	_	_	28.29499685313158	23.475866058675813
1616757420	_	_	42.16400802024407	28.33164421199166
1616759548.0	153.5145180255023	148.8230181939025	_	_
1616802776.0	149.2722549069959	150.7414033368664	_	_
1616824459.0	144.6769903949693	151.9390868737001	_	_
1616845933.0	149.11241313965283	153.85852342653678	_	_
1616882020.0	155.6649078594473	155.70440118513167	_	_
1616902596.0	153.83171452410963	156.81183784824643	_	_
1616923011.0	169.72431903881088	158.42775048434964	_	_
1616943336.0	160.7533744344109	159.7690817327987	_	_
1616975546.0	168.56016974415326	162.4247183652858	_	_
1617018737.0	161.34197398721292	163.91812514609285	_	_
1617061908.0	166.94296388832578	166.2753767995276	_	_
1617084468.0	173.29542124589523	168.43227134985193	_	_
1617105107.0	166.45754579389123	171.44838040622022	_	_
1617126746.0	161.89193031711312	172.42961786870467	_	_
1617148652.0	168.96031389237694	173.46885655445232	_	_
1617169965.0	169.65613117168303	175.15640671705066	_	_
1617192475.0	175.04596025150798	176.25346351518183	_	_
1617213073.0	183.44350638684747	178.76015079234435	_	_
1617234719.0	182.29796877285804	179.55839421276687	_	_
1617256341.0	198.30229944076265	183.89190378858802	_	_
1617278324.0	190.25325136315863	185.8467151597764	_	_
1617299568.0	201.98306246596684	186.94675003036377	_	_
1617342688.0	167.75592492685752	188.67963924176718	_	_
1617362220	_	_	42.16400802024407	28.33164421199166
1617362220	_	_	63.49122083556361	33.24373497725091
1617364338.0	175.41044288865248	190.98702621414657	_	_
1617407514.0	185.89516761347787	191.75668925359193	_	_
1617429174.0	190.56839820330327	194.32064148008695	_	_
1617451144.0	208.3804327004985	196.95577820101735	_	_
1617472333.0	183.72679473218088	197.66899859724688	_	_
1617496949.0	243.67865592781462	200.9062499266031	_	_
1617515469.0	204.0843799409051	201.62630863836898	_	_
1617537087.0	194.19608378705524	204.4535533185955	_	_
1617558755.0	199.38244081055603	205.4958862535044	_	_
1617581835.0	205.73228279232106	209.08749041207963	_	_
1617601961.0	183.58391164183928	211.94741786680052	_	_
1617624900.0	218.37122347508821	215.68958824340461	_	_
1617645128.0	225.11355794918578	218.47450144776963	_	_
1617688351.0	196.99469391520864	221.04344535276203	_	_
1617731508.0	243.80574403062676	225.8459627426783	_	_
1617753137.0	211.98341496431416	225.96237905466484	_	_
1617778057.0	243.9709002874626	228.37737128552615	_	_
1617796293.0	221.78738822923629	232.9594759702026	_	_
1617817956.0	235.99640393978646	237.21373745670132	_	_
1617861096.0	229.74906452835032	239.84395658119195	_	_
1617882742.0	256.99640476895524	243.85516112403604	_	_
1617905074.0	243.48174908623892	247.48768312393923	_	_
1617925913.0	257.1903668953533	248.54649592431122	_	_
1617949019.0	274.97462514058975	252.5176258413287	_	_
1617967020	_	_	63.49122083556361	33.24373497725091
1617967020	_	_	76.88973682981307	30.214659885956113
1617969085.0	245.8905658555583	254.47824704971018	_	_
1617990730.0	249.96923232727138	260.3613305655925	_	_
1618012757.0	281.2560727959075	263.22934045551483	_	_
1618033930.0	280.2134090540314	268.2943988000311	_	_
1618077111.0	255.70644615764243	271.0863161787664	_	_
1618098712.0	259.7967979558775	274.6805186662664	_	_
1618141900.0	287.3891414732488	275.77094820620766	_	_
1618164180.0	245.23100115625434	278.4436778306466	_	_
1618185156.0	272.44616233854015	283.1253162268636	_	_
1618208004.0	281.0575469898744	284.483250054725	_	_
1618228359.0	323.7620017660785	287.1091733936284	_	_
1618271463.0	298.4630881959869	290.990573612845	_	_
1618293101.0	318.02349677504566	293.1395302760107	_	_
1618336347.0	289.04283413575763	296.5278655851341	_	_
1618358294.0	298.03891179084917	299.35143333615764	_	_
1618379565.0	277.7145660278394	302.0716323779347	_	_
1618422705.0	294.2636119505798	306.5833788051688	_	_
1618444349.0	346.1414964234766	310.3471983720988	_	_
1618466939.0	300.7753678699554	315.1548483792758	_	_
1618487518.0	295.7831092947227	317.8889340400578	_	_
1618509125.0	323.7158364923876	320.299274331775	_	_
1618531376.0	322.0862493960561	322.6605556898522	_	_
1618552292.0	344.59177992737557	326.4853344149748	_	_
1618571820	_	_	76.88973682981307	30.214659885956113
1618571820	_	_	246.84398923788962	74.49240760919005
1618573937.0	309.3542334270891	331.36798387952325	_	_
1618595546.0	311.48057974964166	337.1197950651475	_	_
1618617533.0	373.1123235906965	341.0248416049181	_	_
1618638662.0	316.74357292792365	347.1057481316702	_	_
1618660370.0	363.7915124749029	349.57325411021736	_	_
1618703540.0	333.00517454473396	354.07439370619437	_	_
1618725980.0	369.5584673087047	361.40613951216955	_	_
1618746713.0	343.3274339994536	364.5615777753909	_	_
1618768337.0	390.6942925523751	371.3363811513686	_	_
1618790925.0	381.8131739621773	377.8492884053996	_	_
1618811516.0	407.3233243177113	385.94452918691917	_	_
1618833619.0	351.91045028347975	395.7993702723355	_	_
1618854683.0	409.80083595887015	401.10388325650035	_	_
1618876351.0	393.02411001587257	410.79638515224497	_	_
1618899589.0	386.2970201935174	419.3367926533524	_	_
1618919520.0	435.086279608251	433.3099671237783	_	_
1618942543.0	383.6691634935944	444.53827515628456	_	_
1618962746.0	450.8075135396319	454.69689661389174	_	_
1618986228.0	468.33701775396435	463.5317299160978	_	_
1619005950.0	463.16380827596055	477.4516064788247	_	_
1619030429.0	498.72256037255306	486.3366400230578	_	_
1619049134.0	473.89807028982756	502.96189669208655	_	_
1619092315.0	500.9011089470702	518.7828358811763	_	_
1619113921.0	526.0592549959454	530.1331719852833	_	_
1619135560.0	598.495489482827	546.5125794439771	_	_
1619160021.0	582.8963199263225	560.0132273605532	_	_
1619176620	_	_	246.84398923788962	74.49240760919005
1619176620	_	_	689.744825302782	119.28926714956161
1619178720.0	536.3412416939908	578.2119731174129	_	_
1619200342.0	558.5561252942902	595.8717823342802	_	_
1619221963.0	646.2908286539883	612.1404506599041	_	_
1619245385.0	576.1389616581394	629.508600756063	_	_
1619265149.0	667.7903269950259	654.4588627991857	_	_
1619287474.0	710.3986805515777	674.4479956644252	_	_
1619308305.0	608.6804959939057	689.037816616948	_	_
1619329906.0	697.505761908699	708.6985523638346	_	_
1619353596.0	691.5985900231976	728.7800759698299	_	_
1619373109.0	729.44533287393	748.2578885420194	_	_
1619397425.0	786.343888660111	770.2965987534336	_	_
1619416321.0	777.4417159408165	801.09954206098	_	_
1619437932.0	793.1586601029773	820.5143529963434	_	_
1619460478.0	972.7775391918857	850.6568340949154	_	_
1619481162.0	853.6915947293768	878.9695825845259	_	_
1619524335.0	778.1077070450044	903.7309382747167	_	_
1619545943.0	899.61323418679	935.4800591284351	_	_
1619578972.0	980.0444379967397	964.5252702622173	_	_
1619610769.0	952.9747587979228	995.7831075190014	_	_
1619637036.0	955.07673571086	1027.4911929668267	_	_
1619653913.0	1143.8120481376702	1057.1841209436614	_	_
1619675573.0	1015.172236425895	1089.0268139418592	_	_
1619699461.0	1148.8461025310082	1123.3705341728323	_	_
1619718734.0	1205.7325482976262	1151.355456963233	_	_
1619740335.0	1180.864438665199	1186.9169831023373	_	_
1619762834.0	1211.9137922145546	1229.1418632898283	_	_
1619781420	_	_	689.744825302782	119.28926714956161
1619781420	_	_	1452.8763325065552	114.58405635876237
1619783493.0	1249.364773450565	1267.956798420195	_	_
1619805124.0	1285.497497902097	1306.312248109775	_	_
1619826800.0	1331.898956382609	1346.9916270009367	_	_
1619848290.0	1350.5095202199695	1389.7340126301633	_	_
1619873331.0	1382.4528829065737	1421.9548822411627	_	_
1619891543.0	1445.6893444914651	1465.677976640956	_	_
1619913149.0	1504.4910722095058	1505.5898877315922	_	_
1619936457.0	1529.3605913723538	1551.338655360658	_	_
1619956336.0	1580.3804306073314	1600.1366104333824	_	_
1619979308.0	1637.0970016637532	1650.3382291112448	_	_
1619999475.0	1708.7979820987591	1699.6755462115839	_	_
1620021119.0	1725.8829577299962	1753.7332805522256	_	_
1620042726.0	1767.1820626661654	1809.8520305538304	_	_
1620085926.0	1756.0085707466617	1867.666679314153	_	_
1620110542.0	1845.911030021973	1928.2467171371866	_	_
1620129121.0	1907.1724132530956	1987.808507558865	_	_
1620151299.0	2074.959133249879	2049.1281280546095	_	_
1620172348.0	2108.025585046967	2110.0478256324213	_	_
1620195932.0	2165.744547093934	2170.589111645999	_	_
1620215504.0	2186.773798357013	2229.012504661901	_	_
1620237148.0	2312.5944503742903	2285.7971866499	_	_
1620260833.0	2398.1552064130988	2347.895685246891	_	_
1620280296.0	2448.9878466660925	2410.1328738838033	_	_
1620301923.0	2533.4736015442118	2476.905160675575	_	_
1620325272.0	2577.3633625033485	2545.0619910104247	_	_
1620345111.0	2669.5638616286574	2613.5879014081174	_	_
1620366972.0	2686.834845350774	2673.8340539405312	_	_
1620386220	_	_	1452.8763325065552	114.58405635876237
1620386220	_	_	1917.63354029615	70.4796453152193
1620388277.0	2730.6648648653063	2720.83313092675	_	_
1620409908.0	2747.1414689659096	2752.875961612186	_	_
1620431528.0	2787.7069398707354	2780.3850659497857	_	_
1620453143.0	2905.7544310728204	2803.365961841771	_	_
1620475374.0	2949.6886467675026	2844.9639532964525	_	_
1620496290.0	3024.682019790328	2888.673552667249	_	_
1620518585.0	3140.890806384099	2934.4461019515306	_	_
1620539490.0	3209.1647108092675	2983.6037035063914	_	_
1620561133.0	3219.636031365734	3037.143496518741	_	_
1620582776.0	3001.008047785126	3096.834023672803	_	_
1620625874.0	2774.5583301172155	3161.2219156850997	_	_
1620647503.0	2709.446780771417	3227.6952587348483	_	_
1620669118.0	2749.231472321997	3297.5153495986933	_	_
1620693921.0	3188.5170440520565	3362.9123395369334	_	_
1620712261.0	3279.4702347112234	3433.2891738625162	_	_
1620733882.0	3403.152037945572	3503.2813878533398	_	_
1620755529.0	3511.357792045685	3577.2339197447122	_	_
1620778592.0	3686.8199288633027	3652.460338713851	_	_
1620798701.0	3820.95486127796	3716.2413150830766	_	_
1620820334.0	3954.03481309894	3846.139816368245	_	_
1620844263.0	4010.134986911127	3981.103748396124	_	_
1620863482.0	4114.288666283791	4097.429677862983	_	_
1620885133.0	4148.297239899384	4208.172081731537	_	_
1620908504.0	4286.848498953576	4299.79415160099	_	_
1620928293.0	4354.534085615982	4394.827081602403	_	_
1620971447.0	4545.98891232017	4512.996556386351	_	_
1620991020	_	_	1917.63354029615	70.4796453152193
1620993092.0	4638.4666712229	4638.4666712229	_	_
